緯度の整数部分（度）,緯度の小数部分（分）,経度の整数部分（度）,緯度の小数部分(分),震央地名
31,36,131,31,日向灘
31,36,131,32,日向灘
31,36,131,33,日向灘
31,36,131,34,日向灘
31,36,131,36,日向灘
31,36,131,37,日向灘
31,36,131,38,日向灘
31,36,131,39,日向灘
31,36,131,42,日向灘
31,36,131,44,日向灘
31,36,131,46,日向灘
31,36,131,47,日向灘
31,36,131,48,日向灘
31,36,131,49,日向灘
31,36,131,50,日向灘
31,36,131,51,日向灘
31,36,131,52,日向灘
31,36,131,53,日向灘
31,36,131,54,日向灘
31,36,131,55,日向灘
31,36,131,56,日向灘
31,36,131,57,日向灘
31,36,132,4,日向灘
31,36,132,7,日向灘
31,36,132,32,九州地方南東沖
31,36,132,40,九州地方南東沖
31,36,138,28,鳥島近海
31,36,139,24,鳥島近海
31,36,139,26,鳥島近海
31,36,139,28,鳥島近海
31,36,139,40,鳥島近海
31,36,139,58,鳥島近海
31,36,140,3,鳥島近海
31,36,140,20,鳥島近海
31,36,141,58,鳥島近海
31,36,142,9,鳥島近海
31,36,142,23,鳥島近海
31,36,142,24,鳥島近海
31,36,142,27,鳥島近海
31,37,128,46,薩摩半島西方沖
31,37,128,55,薩摩半島西方沖
31,37,128,56,薩摩半島西方沖
31,37,129,7,薩摩半島西方沖
31,37,129,23,薩摩半島西方沖
31,37,129,25,薩摩半島西方沖
31,37,129,26,薩摩半島西方沖
31,37,129,27,薩摩半島西方沖
31,37,129,28,薩摩半島西方沖
31,37,129,31,薩摩半島西方沖
31,37,129,32,薩摩半島西方沖
31,37,129,34,薩摩半島西方沖
31,37,129,37,薩摩半島西方沖
31,37,129,38,薩摩半島西方沖
31,37,129,54,薩摩半島西方沖
31,37,129,59,薩摩半島西方沖
31,37,130,7,薩摩半島西方沖
31,37,130,8,薩摩半島西方沖
31,37,130,9,薩摩半島西方沖
31,37,130,10,薩摩半島西方沖
31,37,130,11,薩摩半島西方沖
31,37,130,12,薩摩半島西方沖
31,37,130,13,薩摩半島西方沖
31,37,130,14,薩摩半島西方沖
31,37,130,15,薩摩半島西方沖
31,37,130,25,鹿児島県薩摩地方
31,37,130,26,鹿児島県薩摩地方
31,37,130,32,鹿児島県薩摩地方
31,37,130,39,鹿児島県薩摩地方
31,37,130,40,鹿児島県薩摩地方
31,37,130,42,鹿児島県薩摩地方
31,37,130,43,鹿児島湾
31,37,130,44,鹿児島湾
31,37,130,45,鹿児島湾
31,37,130,46,鹿児島湾
31,37,130,47,鹿児島湾
31,37,130,48,鹿児島県大隅地方
31,37,130,55,鹿児島県大隅地方
31,37,130,56,鹿児島県大隅地方
31,37,130,57,鹿児島県大隅地方
31,37,130,58,鹿児島県大隅地方
31,37,131,0,鹿児島県大隅地方
31,37,131,1,鹿児島県大隅地方
31,37,131,2,鹿児島県大隅地方
31,37,131,9,鹿児島県大隅地方
31,37,131,21,宮崎県南部平野部
31,37,131,24,宮崎県南部平野部
31,37,131,25,宮崎県南部平野部
31,37,131,27,宮崎県南部平野部
31,37,131,28,大隅半島東方沖
31,37,131,29,大隅半島東方沖
31,37,131,30,日向灘
31,37,131,31,日向灘
31,37,131,32,日向灘
31,37,131,33,日向灘
31,37,131,34,日向灘
31,37,131,35,日向灘
31,37,131,36,日向灘
31,37,131,38,日向灘
31,37,131,39,日向灘
31,37,131,40,日向灘
31,37,131,41,日向灘
31,37,131,42,日向灘
31,37,131,43,日向灘
31,37,131,44,日向灘
31,37,131,45,日向灘
31,37,131,46,日向灘
31,37,131,47,日向灘
31,37,131,48,日向灘
31,37,131,49,日向灘
31,37,131,50,日向灘
31,37,131,51,日向灘
31,37,131,52,日向灘
31,37,131,53,日向灘
31,37,131,54,日向灘
31,37,131,55,日向灘
31,37,131,56,日向灘
31,37,132,0,日向灘
31,37,132,3,日向灘
31,37,132,4,日向灘
31,37,132,6,日向灘
31,37,132,7,日向灘
31,37,132,9,日向灘
31,37,132,37,九州地方南東沖
31,37,132,39,九州地方南東沖
31,37,132,49,九州地方南東沖
31,37,133,57,四国沖
31,37,138,13,鳥島近海
31,37,139,33,鳥島近海
31,37,139,37,鳥島近海
31,37,140,1,鳥島近海
31,37,140,50,鳥島近海
31,37,142,23,鳥島近海
31,37,142,25,鳥島近海
31,37,142,26,鳥島近海
31,38,128,46,薩摩半島西方沖
31,38,128,48,薩摩半島西方沖
31,38,128,54,薩摩半島西方沖
31,38,128,55,薩摩半島西方沖
31,38,128,56,薩摩半島西方沖
31,38,129,0,薩摩半島西方沖
31,38,129,25,薩摩半島西方沖
31,38,129,27,薩摩半島西方沖
31,38,129,28,薩摩半島西方沖
31,38,129,30,薩摩半島西方沖
31,38,129,32,薩摩半島西方沖
31,38,129,34,薩摩半島西方沖
31,38,129,35,薩摩半島西方沖
31,38,129,36,薩摩半島西方沖
31,38,129,37,薩摩半島西方沖
31,38,129,49,薩摩半島西方沖
31,38,129,51,薩摩半島西方沖
31,38,129,53,薩摩半島西方沖
31,38,130,0,薩摩半島西方沖
31,38,130,3,薩摩半島西方沖
31,38,130,6,薩摩半島西方沖
31,38,130,7,薩摩半島西方沖
31,38,130,8,薩摩半島西方沖
31,38,130,9,薩摩半島西方沖
31,38,130,11,薩摩半島西方沖
31,38,130,13,薩摩半島西方沖
31,38,130,15,薩摩半島西方沖
31,38,130,27,鹿児島県薩摩地方
31,38,130,28,鹿児島県薩摩地方
31,38,130,31,鹿児島県薩摩地方
31,38,130,32,鹿児島県薩摩地方
31,38,130,33,鹿児島県薩摩地方
31,38,130,34,鹿児島県薩摩地方
31,38,130,41,鹿児島湾
31,38,130,42,鹿児島湾
31,38,130,43,鹿児島湾
31,38,130,44,鹿児島湾
31,38,130,45,鹿児島湾
31,38,130,46,鹿児島湾
31,38,130,51,鹿児島県薩摩地方
31,38,130,56,鹿児島県大隅地方
31,38,130,57,鹿児島県大隅地方
31,38,130,58,鹿児島県大隅地方
31,38,131,0,鹿児島県大隅地方
31,38,131,4,鹿児島県大隅地方
31,38,131,5,鹿児島県大隅地方
31,38,131,10,鹿児島県大隅地方
31,38,131,17,宮崎県南部平野部
31,38,131,18,宮崎県南部平野部
31,38,131,22,宮崎県南部平野部
31,38,131,25,宮崎県南部平野部
31,38,131,26,宮崎県南部平野部
31,38,131,27,宮崎県南部平野部
31,38,131,28,日向灘
31,38,131,30,日向灘
31,38,131,32,日向灘
31,38,131,34,日向灘
31,38,131,35,日向灘
31,38,131,36,日向灘
31,38,131,37,日向灘
31,38,131,39,日向灘
31,38,131,41,日向灘
31,38,131,43,日向灘
31,38,131,44,日向灘
31,38,131,45,日向灘
31,38,131,46,日向灘
31,38,131,47,日向灘
31,38,131,48,日向灘
31,38,131,49,日向灘
31,38,131,50,日向灘
31,38,131,51,日向灘
31,38,131,52,日向灘
31,38,131,53,日向灘
31,38,131,54,日向灘
31,38,131,55,日向灘
31,38,131,56,日向灘
31,38,132,3,日向灘
31,38,132,4,日向灘
31,38,132,5,日向灘
31,38,132,6,日向灘
31,38,132,12,日向灘
31,38,132,21,九州地方南東沖
31,38,132,25,九州地方南東沖
31,38,138,32,鳥島近海
31,38,139,14,鳥島近海
31,38,139,36,鳥島近海
31,38,139,37,鳥島近海
31,38,139,40,鳥島近海
31,38,140,33,鳥島近海
31,38,140,40,鳥島近海
31,38,141,49,鳥島近海
31,38,142,21,鳥島近海
31,38,142,23,鳥島近海
31,38,142,24,鳥島近海
31,38,142,27,鳥島近海
31,38,142,28,鳥島近海
31,39,128,56,薩摩半島西方沖
31,39,129,5,薩摩半島西方沖
31,39,129,26,薩摩半島西方沖
31,39,129,27,薩摩半島西方沖
31,39,129,28,薩摩半島西方沖
31,39,129,31,薩摩半島西方沖
31,39,129,32,薩摩半島西方沖
31,39,129,34,薩摩半島西方沖
31,39,129,35,薩摩半島西方沖
31,39,129,36,薩摩半島西方沖
31,39,129,37,薩摩半島西方沖
31,39,129,40,薩摩半島西方沖
31,39,129,53,薩摩半島西方沖
31,39,129,54,薩摩半島西方沖
31,39,129,58,薩摩半島西方沖
31,39,130,2,薩摩半島西方沖
31,39,130,3,薩摩半島西方沖
31,39,130,4,薩摩半島西方沖
31,39,130,7,薩摩半島西方沖
31,39,130,8,薩摩半島西方沖
31,39,130,10,薩摩半島西方沖
31,39,130,12,薩摩半島西方沖
31,39,130,13,薩摩半島西方沖
31,39,130,22,鹿児島県薩摩地方
31,39,130,23,鹿児島県薩摩地方
31,39,130,26,鹿児島県薩摩地方
31,39,130,29,鹿児島県薩摩地方
31,39,130,33,鹿児島県薩摩地方
31,39,130,37,鹿児島湾
31,39,130,38,鹿児島湾
31,39,130,39,鹿児島湾
31,39,130,40,鹿児島湾
31,39,130,42,鹿児島湾
31,39,130,43,鹿児島湾
31,39,130,44,鹿児島湾
31,39,130,45,鹿児島湾
31,39,130,46,鹿児島湾
31,39,130,47,鹿児島湾
31,39,130,53,鹿児島県大隅地方
31,39,130,57,鹿児島県大隅地方
31,39,130,59,鹿児島県大隅地方
31,39,131,0,鹿児島県大隅地方
31,39,131,2,鹿児島県大隅地方
31,39,131,3,宮崎県南部山沿い
31,39,131,6,宮崎県南部山沿い
31,39,131,9,宮崎県南部山沿い
31,39,131,18,宮崎県南部平野部
31,39,131,21,宮崎県南部平野部
31,39,131,23,宮崎県南部平野部
31,39,131,24,宮崎県南部平野部
31,39,131,25,宮崎県南部平野部
31,39,131,26,宮崎県南部平野部
31,39,131,28,日向灘
31,39,131,30,日向灘
31,39,131,31,日向灘
31,39,131,32,日向灘
31,39,131,36,日向灘
31,39,131,38,日向灘
31,39,131,39,日向灘
31,39,131,42,日向灘
31,39,131,43,日向灘
31,39,131,44,日向灘
31,39,131,45,日向灘
31,39,131,46,日向灘
31,39,131,47,日向灘
31,39,131,48,日向灘
31,39,131,49,日向灘
31,39,131,50,日向灘
31,39,131,51,日向灘
31,39,131,52,日向灘
31,39,131,53,日向灘
31,39,131,54,日向灘
31,39,131,55,日向灘
31,39,131,56,日向灘
31,39,132,0,日向灘
31,39,132,3,日向灘
31,39,132,4,日向灘
31,39,132,5,日向灘
31,39,132,8,日向灘
31,39,139,23,鳥島近海
31,39,139,25,鳥島近海
31,39,139,28,鳥島近海
31,39,139,33,鳥島近海
31,39,139,38,鳥島近海
31,39,139,41,鳥島近海
31,39,140,13,鳥島近海
31,39,141,39,鳥島近海
31,39,142,20,鳥島近海
31,39,142,26,鳥島近海
31,39,142,34,鳥島近海
31,40,128,53,薩摩半島西方沖
31,40,128,54,薩摩半島西方沖
31,40,128,55,薩摩半島西方沖
31,40,128,56,薩摩半島西方沖
31,40,129,25,薩摩半島西方沖
31,40,129,33,薩摩半島西方沖
31,40,129,34,薩摩半島西方沖
31,40,129,35,薩摩半島西方沖
31,40,129,36,薩摩半島西方沖
31,40,129,37,薩摩半島西方沖
31,40,129,38,薩摩半島西方沖
31,40,129,39,薩摩半島西方沖
31,40,129,53,薩摩半島西方沖
31,40,129,56,薩摩半島西方沖
31,40,130,3,薩摩半島西方沖
31,40,130,7,薩摩半島西方沖
31,40,130,8,薩摩半島西方沖
31,40,130,9,薩摩半島西方沖
31,40,130,10,薩摩半島西方沖
31,40,130,25,鹿児島県薩摩地方
31,40,130,26,鹿児島県薩摩地方
31,40,130,28,鹿児島県薩摩地方
31,40,130,41,鹿児島湾
31,40,130,43,鹿児島湾
31,40,130,44,鹿児島湾
31,40,130,45,鹿児島湾
31,40,130,46,鹿児島湾
31,40,130,54,鹿児島県薩摩地方
31,40,130,58,鹿児島県大隅地方
31,40,130,59,鹿児島県大隅地方
31,40,131,1,鹿児島県大隅地方
31,40,131,4,宮崎県南部山沿い
31,40,131,5,宮崎県南部山沿い
31,40,131,6,宮崎県南部山沿い
31,40,131,7,宮崎県南部山沿い
31,40,131,8,宮崎県南部山沿い
31,40,131,17,宮崎県南部平野部
31,40,131,19,宮崎県南部平野部
31,40,131,22,宮崎県南部平野部
31,40,131,26,宮崎県南部平野部
31,40,131,27,宮崎県南部平野部
31,40,131,28,日向灘
31,40,131,29,日向灘
31,40,131,30,日向灘
31,40,131,31,日向灘
31,40,131,32,日向灘
31,40,131,34,日向灘
31,40,131,36,日向灘
31,40,131,37,日向灘
31,40,131,38,日向灘
31,40,131,39,日向灘
31,40,131,40,日向灘
31,40,131,43,日向灘
31,40,131,44,日向灘
31,40,131,45,日向灘
31,40,131,46,日向灘
31,40,131,47,日向灘
31,40,131,48,日向灘
31,40,131,49,日向灘
31,40,131,50,日向灘
31,40,131,51,日向灘
31,40,131,52,日向灘
31,40,131,53,日向灘
31,40,131,54,日向灘
31,40,131,55,日向灘
31,40,131,56,日向灘
31,40,131,57,日向灘
31,40,132,3,日向灘
31,40,132,5,日向灘
31,40,132,6,日向灘
31,40,132,19,日向灘
31,40,132,20,日向灘
31,40,132,21,九州地方南東沖
31,40,132,34,九州地方南東沖
31,40,134,6,四国沖
31,40,138,35,鳥島近海
31,40,139,35,鳥島近海
31,40,140,32,鳥島近海
31,40,140,34,鳥島近海
31,40,140,56,鳥島近海
31,40,141,9,鳥島近海
31,40,141,11,鳥島近海
31,40,141,48,鳥島近海
31,40,141,50,鳥島近海
31,40,141,55,鳥島近海
31,40,142,17,鳥島近海
31,40,142,30,鳥島近海
31,41,128,53,薩摩半島西方沖
31,41,128,54,薩摩半島西方沖
31,41,128,55,薩摩半島西方沖
31,41,128,56,薩摩半島西方沖
31,41,128,57,薩摩半島西方沖
31,41,129,6,薩摩半島西方沖
31,41,129,20,薩摩半島西方沖
31,41,129,32,薩摩半島西方沖
31,41,129,34,薩摩半島西方沖
31,41,129,35,薩摩半島西方沖
31,41,129,36,薩摩半島西方沖
31,41,129,37,薩摩半島西方沖
31,41,129,55,薩摩半島西方沖
31,41,129,57,薩摩半島西方沖
31,41,130,5,薩摩半島西方沖
31,41,130,8,薩摩半島西方沖
31,41,130,9,薩摩半島西方沖
31,41,130,10,薩摩半島西方沖
31,41,130,19,鹿児島県薩摩地方
31,41,130,20,鹿児島県薩摩地方
31,41,130,30,鹿児島県薩摩地方
31,41,130,43,鹿児島湾
31,41,130,45,鹿児島湾
31,41,130,58,鹿児島県大隅地方
31,41,131,0,鹿児島県大隅地方
31,41,131,3,宮崎県南部山沿い
31,41,131,5,宮崎県南部山沿い
31,41,131,6,宮崎県南部山沿い
31,41,131,7,宮崎県南部山沿い
31,41,131,8,宮崎県南部山沿い
31,41,131,13,宮崎県南部平野部
31,41,131,16,宮崎県南部平野部
31,41,131,17,宮崎県南部平野部
31,41,131,27,宮崎県南部平野部
31,41,131,28,宮崎県南部平野部
31,41,131,29,日向灘
31,41,131,30,日向灘
31,41,131,31,日向灘
31,41,131,32,日向灘
31,41,131,33,日向灘
31,41,131,35,日向灘
31,41,131,36,日向灘
31,41,131,38,日向灘
31,41,131,39,日向灘
31,41,131,40,日向灘
31,41,131,42,日向灘
31,41,131,43,日向灘
31,41,131,44,日向灘
31,41,131,45,日向灘
31,41,131,46,日向灘
31,41,131,47,日向灘
31,41,131,48,日向灘
31,41,131,49,日向灘
31,41,131,50,日向灘
31,41,131,51,日向灘
31,41,131,52,日向灘
31,41,131,53,日向灘
31,41,131,54,日向灘
31,41,131,55,日向灘
31,41,131,58,日向灘
31,41,132,0,日向灘
31,41,132,4,日向灘
31,41,132,9,日向灘
31,41,132,21,日向灘
31,41,139,27,鳥島近海
31,41,141,56,鳥島近海
31,41,142,14,鳥島近海
31,42,128,54,薩摩半島西方沖
31,42,128,55,薩摩半島西方沖
31,42,128,56,薩摩半島西方沖
31,42,128,57,薩摩半島西方沖
31,42,128,58,薩摩半島西方沖
31,42,129,19,薩摩半島西方沖
31,42,129,30,薩摩半島西方沖
31,42,129,33,薩摩半島西方沖
31,42,129,34,薩摩半島西方沖
31,42,129,36,薩摩半島西方沖
31,42,129,55,薩摩半島西方沖
31,42,129,57,薩摩半島西方沖
31,42,130,4,薩摩半島西方沖
31,42,130,5,薩摩半島西方沖
31,42,130,8,薩摩半島西方沖
31,42,130,9,薩摩半島西方沖
31,42,130,10,薩摩半島西方沖
31,42,130,29,鹿児島県薩摩地方
31,42,130,30,鹿児島県薩摩地方
31,42,130,42,鹿児島湾
31,42,130,47,鹿児島県薩摩地方
31,42,130,48,鹿児島県薩摩地方
31,42,130,51,鹿児島県薩摩地方
31,42,130,54,鹿児島県薩摩地方
31,42,130,57,鹿児島県大隅地方
31,42,131,0,鹿児島県大隅地方
31,42,131,1,鹿児島県大隅地方
31,42,131,2,宮崎県南部山沿い
31,42,131,3,宮崎県南部山沿い
31,42,131,4,宮崎県南部山沿い
31,42,131,5,宮崎県南部山沿い
31,42,131,6,宮崎県南部山沿い
31,42,131,7,宮崎県南部山沿い
31,42,131,8,宮崎県南部山沿い
31,42,131,9,宮崎県南部山沿い
31,42,131,10,宮崎県南部山沿い
31,42,131,24,宮崎県南部平野部
31,42,131,26,宮崎県南部平野部
31,42,131,27,宮崎県南部平野部
31,42,131,28,日向灘
31,42,131,29,日向灘
31,42,131,31,日向灘
31,42,131,32,日向灘
31,42,131,36,日向灘
31,42,131,38,日向灘
31,42,131,39,日向灘
31,42,131,40,日向灘
31,42,131,41,日向灘
31,42,131,42,日向灘
31,42,131,43,日向灘
31,42,131,44,日向灘
31,42,131,45,日向灘
31,42,131,46,日向灘
31,42,131,47,日向灘
31,42,131,48,日向灘
31,42,131,49,日向灘
31,42,131,50,日向灘
31,42,131,51,日向灘
31,42,131,52,日向灘
31,42,131,53,日向灘
31,42,131,54,日向灘
31,42,131,55,日向灘
31,42,131,56,日向灘
31,42,131,58,日向灘
31,42,132,1,日向灘
31,42,132,3,日向灘
31,42,132,4,日向灘
31,42,132,7,日向灘
31,42,132,8,日向灘
31,42,132,9,日向灘
31,42,132,12,日向灘
31,42,138,9,鳥島近海
31,42,139,21,鳥島近海
31,42,139,25,鳥島近海
31,42,140,4,鳥島近海
31,42,140,5,鳥島近海
31,42,142,11,鳥島近海
31,42,142,23,鳥島近海
31,42,142,26,鳥島近海
31,43,128,55,薩摩半島西方沖
31,43,128,56,薩摩半島西方沖
31,43,128,57,薩摩半島西方沖
31,43,129,2,薩摩半島西方沖
31,43,129,20,薩摩半島西方沖
31,43,129,24,薩摩半島西方沖
31,43,129,34,薩摩半島西方沖
31,43,129,37,薩摩半島西方沖
31,43,129,52,薩摩半島西方沖
31,43,129,55,薩摩半島西方沖
31,43,129,56,薩摩半島西方沖
31,43,129,57,薩摩半島西方沖
31,43,130,4,薩摩半島西方沖
31,43,130,5,薩摩半島西方沖
31,43,130,6,薩摩半島西方沖
31,43,130,8,薩摩半島西方沖
31,43,130,9,薩摩半島西方沖
31,43,130,10,薩摩半島西方沖
31,43,130,12,薩摩半島西方沖
31,43,130,23,鹿児島県薩摩地方
31,43,130,31,鹿児島県薩摩地方
31,43,130,32,鹿児島県薩摩地方
31,43,130,34,鹿児島県薩摩地方
31,43,130,35,鹿児島県薩摩地方
31,43,130,41,鹿児島湾
31,43,130,42,鹿児島湾
31,43,130,47,鹿児島県薩摩地方
31,43,130,48,鹿児島県薩摩地方
31,43,130,52,鹿児島県薩摩地方
31,43,130,58,鹿児島県大隅地方
31,43,131,2,宮崎県南部山沿い
31,43,131,3,宮崎県南部山沿い
31,43,131,4,宮崎県南部山沿い
31,43,131,5,宮崎県南部山沿い
31,43,131,6,宮崎県南部山沿い
31,43,131,8,宮崎県南部山沿い
31,43,131,12,宮崎県南部山沿い
31,43,131,19,宮崎県南部平野部
31,43,131,25,宮崎県南部平野部
31,43,131,26,宮崎県南部平野部
31,43,131,27,宮崎県南部平野部
31,43,131,28,宮崎県南部平野部
31,43,131,31,日向灘
31,43,131,33,日向灘
31,43,131,35,日向灘
31,43,131,36,日向灘
31,43,131,37,日向灘
31,43,131,38,日向灘
31,43,131,39,日向灘
31,43,131,40,日向灘
31,43,131,41,日向灘
31,43,131,42,日向灘
31,43,131,43,日向灘
31,43,131,44,日向灘
31,43,131,45,日向灘
31,43,131,46,日向灘
31,43,131,47,日向灘
31,43,131,48,日向灘
31,43,131,49,日向灘
31,43,131,50,日向灘
31,43,131,51,日向灘
31,43,131,52,日向灘
31,43,131,53,日向灘
31,43,131,54,日向灘
31,43,131,57,日向灘
31,43,131,59,日向灘
31,43,132,3,日向灘
31,43,132,5,日向灘
31,43,132,6,日向灘
31,43,132,7,日向灘
31,43,132,8,日向灘
31,43,132,9,日向灘
31,43,132,10,日向灘
31,43,137,7,南海道南方沖
31,43,138,26,鳥島近海
31,43,139,35,鳥島近海
31,43,140,0,鳥島近海
31,43,140,11,鳥島近海
31,43,140,58,鳥島近海
31,43,141,16,鳥島近海
31,43,141,52,鳥島近海
31,43,142,24,鳥島近海
31,43,142,25,鳥島近海
31,43,142,31,鳥島近海
31,44,128,48,薩摩半島西方沖
31,44,128,56,薩摩半島西方沖
31,44,128,57,薩摩半島西方沖
31,44,128,58,薩摩半島西方沖
31,44,129,1,薩摩半島西方沖
31,44,129,2,薩摩半島西方沖
31,44,129,7,薩摩半島西方沖
31,44,129,11,薩摩半島西方沖
31,44,129,21,薩摩半島西方沖
31,44,129,22,薩摩半島西方沖
31,44,129,26,薩摩半島西方沖
31,44,129,28,薩摩半島西方沖
31,44,129,30,薩摩半島西方沖
31,44,129,37,薩摩半島西方沖
31,44,129,39,薩摩半島西方沖
31,44,129,40,薩摩半島西方沖
31,44,129,43,薩摩半島西方沖
31,44,129,48,薩摩半島西方沖
31,44,129,55,薩摩半島西方沖
31,44,129,56,薩摩半島西方沖
31,44,129,58,薩摩半島西方沖
31,44,130,0,薩摩半島西方沖
31,44,130,2,薩摩半島西方沖
31,44,130,5,薩摩半島西方沖
31,44,130,7,薩摩半島西方沖
31,44,130,9,薩摩半島西方沖
31,44,130,10,薩摩半島西方沖
31,44,130,17,鹿児島県薩摩地方
31,44,130,29,鹿児島県薩摩地方
31,44,130,30,鹿児島県薩摩地方
31,44,130,31,鹿児島県薩摩地方
31,44,130,32,鹿児島県薩摩地方
31,44,130,33,鹿児島県薩摩地方
31,44,130,36,鹿児島県薩摩地方
31,44,130,40,鹿児島県薩摩地方
31,44,130,41,鹿児島県薩摩地方
31,44,130,42,鹿児島県薩摩地方
31,44,130,44,鹿児島県薩摩地方
31,44,130,45,鹿児島県薩摩地方
31,44,130,46,鹿児島県薩摩地方
31,44,130,47,鹿児島県薩摩地方
31,44,130,48,鹿児島県薩摩地方
31,44,130,50,鹿児島県薩摩地方
31,44,130,52,鹿児島県薩摩地方
31,44,130,53,鹿児島県薩摩地方
31,44,130,56,鹿児島県大隅地方
31,44,130,58,鹿児島県大隅地方
31,44,131,1,鹿児島県大隅地方
31,44,131,2,宮崎県南部山沿い
31,44,131,3,宮崎県南部山沿い
31,44,131,4,宮崎県南部山沿い
31,44,131,5,宮崎県南部山沿い
31,44,131,6,宮崎県南部山沿い
31,44,131,7,宮崎県南部山沿い
31,44,131,11,宮崎県南部山沿い
31,44,131,27,宮崎県南部平野部
31,44,131,30,日向灘
31,44,131,31,日向灘
31,44,131,32,日向灘
31,44,131,33,日向灘
31,44,131,34,日向灘
31,44,131,35,日向灘
31,44,131,36,日向灘
31,44,131,37,日向灘
31,44,131,39,日向灘
31,44,131,40,日向灘
31,44,131,41,日向灘
31,44,131,42,日向灘
31,44,131,43,日向灘
31,44,131,44,日向灘
31,44,131,45,日向灘
31,44,131,46,日向灘
31,44,131,47,日向灘
31,44,131,48,日向灘
31,44,131,49,日向灘
31,44,131,50,日向灘
31,44,131,51,日向灘
31,44,131,52,日向灘
31,44,131,53,日向灘
31,44,131,54,日向灘
31,44,131,56,日向灘
31,44,132,3,日向灘
31,44,132,6,日向灘
31,44,132,7,日向灘
31,44,132,11,日向灘
31,44,138,11,鳥島近海
31,44,138,22,鳥島近海
31,44,138,38,鳥島近海
31,44,141,1,鳥島近海
31,44,141,52,鳥島近海
31,44,141,58,鳥島近海
31,44,142,28,鳥島近海
31,45,128,28,薩摩半島西方沖
31,45,128,46,薩摩半島西方沖
31,45,128,59,薩摩半島西方沖
31,45,129,2,薩摩半島西方沖
31,45,129,3,薩摩半島西方沖
31,45,129,6,薩摩半島西方沖
31,45,129,7,薩摩半島西方沖
31,45,129,9,薩摩半島西方沖
31,45,129,11,薩摩半島西方沖
31,45,129,12,薩摩半島西方沖
31,45,129,13,薩摩半島西方沖
31,45,129,14,薩摩半島西方沖
31,45,129,15,薩摩半島西方沖
31,45,129,19,薩摩半島西方沖
31,45,129,20,薩摩半島西方沖
31,45,129,21,薩摩半島西方沖
31,45,129,22,薩摩半島西方沖
31,45,129,23,薩摩半島西方沖
31,45,129,25,薩摩半島西方沖
31,45,129,26,薩摩半島西方沖
31,45,129,27,薩摩半島西方沖
31,45,129,29,薩摩半島西方沖
31,45,129,33,薩摩半島西方沖
31,45,129,41,薩摩半島西方沖
31,45,129,54,薩摩半島西方沖
31,45,129,56,薩摩半島西方沖
31,45,129,57,薩摩半島西方沖
31,45,129,58,薩摩半島西方沖
31,45,129,59,薩摩半島西方沖
31,45,130,5,薩摩半島西方沖
31,45,130,9,薩摩半島西方沖
31,45,130,29,鹿児島県薩摩地方
31,45,130,38,鹿児島県薩摩地方
31,45,130,39,鹿児島県薩摩地方
31,45,130,45,鹿児島県薩摩地方
31,45,130,46,鹿児島県薩摩地方
31,45,130,47,鹿児島県薩摩地方
31,45,130,48,鹿児島県薩摩地方
31,45,130,49,鹿児島県薩摩地方
31,45,131,2,宮崎県南部山沿い
31,45,131,4,宮崎県南部山沿い
31,45,131,5,宮崎県南部山沿い
31,45,131,7,宮崎県南部山沿い
31,45,131,8,宮崎県南部山沿い
31,45,131,9,宮崎県南部山沿い
31,45,131,13,宮崎県南部山沿い
31,45,131,23,宮崎県南部平野部
31,45,131,26,宮崎県南部平野部
31,45,131,27,宮崎県南部平野部
31,45,131,28,宮崎県南部平野部
31,45,131,30,日向灘
31,45,131,31,日向灘
31,45,131,32,日向灘
31,45,131,33,日向灘
31,45,131,34,日向灘
31,45,131,35,日向灘
31,45,131,36,日向灘
31,45,131,37,日向灘
31,45,131,38,日向灘
31,45,131,39,日向灘
31,45,131,40,日向灘
31,45,131,41,日向灘
31,45,131,42,日向灘
31,45,131,43,日向灘
31,45,131,44,日向灘
31,45,131,45,日向灘
31,45,131,46,日向灘
31,45,131,47,日向灘
31,45,131,48,日向灘
31,45,131,49,日向灘
31,45,131,50,日向灘
31,45,131,51,日向灘
31,45,131,53,日向灘
31,45,131,54,日向灘
31,45,131,55,日向灘
31,45,131,56,日向灘
31,45,131,57,日向灘
31,45,132,2,日向灘
31,45,132,3,日向灘
31,45,132,5,日向灘
31,45,132,18,日向灘
31,45,138,20,鳥島近海
31,45,138,22,鳥島近海
31,45,138,41,鳥島近海
31,45,140,45,鳥島近海
31,45,140,49,鳥島近海
31,45,141,23,鳥島近海
31,45,141,53,鳥島近海
31,45,141,58,鳥島近海
31,45,142,0,鳥島近海
31,45,142,22,鳥島近海
31,46,128,49,薩摩半島西方沖
31,46,128,53,薩摩半島西方沖
31,46,128,55,薩摩半島西方沖
31,46,128,59,薩摩半島西方沖
31,46,129,1,薩摩半島西方沖
31,46,129,2,薩摩半島西方沖
31,46,129,3,薩摩半島西方沖
31,46,129,4,薩摩半島西方沖
31,46,129,5,薩摩半島西方沖
31,46,129,6,薩摩半島西方沖
31,46,129,7,薩摩半島西方沖
31,46,129,9,薩摩半島西方沖
31,46,129,11,薩摩半島西方沖
31,46,129,12,薩摩半島西方沖
31,46,129,13,薩摩半島西方沖
31,46,129,14,薩摩半島西方沖
31,46,129,16,薩摩半島西方沖
31,46,129,19,薩摩半島西方沖
31,46,129,21,薩摩半島西方沖
31,46,129,22,薩摩半島西方沖
31,46,129,23,薩摩半島西方沖
31,46,129,24,薩摩半島西方沖
